UNOFFICIAL RESULTS
Bucks
Precinct,Contest Name,Candidate Name,Votes,Voter Turnout
"Bedminster Twp East","GOVERNOR (Dem)","Josh Shapiro","195","12.70%"
"Bedminster Twp East","GOVERNOR (Dem)","Write-in","2","12.70%"
"Bedminster Twp East","GOVERNOR (Rep)","Stacy Garrity","103","12.70%"
"Bedminster Twp East","GOVERNOR (Rep)","Write-in","3","12.70%"
"Bedminster Twp East","LIEUTENANT GOVERNOR (Dem)","Austin Davis","196","12.70%"
"Bedminster Twp East","LIEUTENANT GOVERNOR (Dem)","Write-in","0","12.70%"
"Bedminster Twp East","LIEUTENANT GOVERNOR (Rep)","Jason Richey","67","12.70%"
"Bedminster Twp East","LIEUTENANT GOVERNOR (Rep)","John Ventre","31","12.70%"
"Bedminster Twp East","LIEUTENANT GOVERNOR (Rep)","Write-in","2","12.70%"
"Bedminster Twp East","REPRESENTATIVE IN CONGRESS 1st (Dem)","Bob Harvie","116","12.70%"
"Bedminster Twp East","REPRESENTATIVE IN CONGRESS 1st (Dem)","Lucia Simonelli","80","12.70%"
"Bedminster Twp East","REPRESENTATIVE IN CONGRESS 1st (Dem)","Write-in","0","12.70%"
"Bedminster Twp East","REPRESENTATIVE IN CONGRESS 1st (Rep)","Brian Fitzpatrick","93","12.70%"
"Bedminster Twp East","REPRESENTATIVE IN CONGRESS 1st (Rep)","Write-in","8","12.70%"
"Bedminster Twp East","SENATOR IN THE GENERAL ASSEMBLY 16TH (Dem)","Bradley Merkl-Gump","157","12.70%"
"Bedminster Twp East","SENATOR IN THE GENERAL ASSEMBLY 16TH (Dem)","Mark Pinsley","37","12.70%"
"Bedminster Twp East","SENATOR IN THE GENERAL ASSEMBLY 16TH (Dem)","Write-in","0","12.70%"
"Bedminster Twp East","SENATOR IN THE GENERAL ASSEMBLY 16TH (Rep)","Jarrett Coleman","107","12.70%"
"Bedminster Twp East","SENATOR IN THE GENERAL ASSEMBLY 16TH (Rep)","Write-in","3","12.70%"
"Bedminster Twp East","REPRESENTATIVE IN THE GENERAL ASSEMBLY 143RD (Dem)","Tim Hayes","194","12.70%"
"Bedminster Twp East","REPRESENTATIVE IN THE GENERAL ASSEMBLY 143RD (Dem)","Write-in","0","12.70%"
"Bedminster Twp East","REPRESENTATIVE IN THE GENERAL ASSEMBLY 143RD (Rep)","Shelby Labs","111","12.70%"
"Bedminster Twp East","REPRESENTATIVE IN THE GENERAL ASSEMBLY 143RD (Rep)","Write-in","2","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Eleanor Breslin","172","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Jessica J. Malobisky","172","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Connor O'Hanlon","170","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Emily Goble Smith","167","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Liz Warren","160","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Steve Wojciechowski","138","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Marlene Katz","136","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Leann Hart","132","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Nastasha Raisley","130","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","John B. Lewis","123","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Kyle Esposito","123","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Paul Robert Roden","117","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Umar Farooq","105","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Ijaz Manzoor Chaudhry","99","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Seema Kazmi","78","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Write-in","0","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Write-in","0","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Write-in","0","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Write-in","0","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Write-in","0","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Write-in","0","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Write-in","0","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Write-in","0","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Write-in","0","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Write-in","0","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Write-in","0","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Write-in","0","12.70%"
"Bedminster Twp East","DEMOCRATIC STATE COMMITTEE (Dem)","Write-in","0","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Don Petrille","98","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Ellen Cox","92","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Meghan Schroeder","82","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Henry E. Van Blunk","81","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Amalia Ritter","80","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Robert Sellers","76","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Stephanie Shortall","76","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Colleen Strunk","70","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Raymond Goodnoe","69","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Diane Dowler","67","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Joseph Sroka","67","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Tom Panzer","65","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","David Breidinger","62","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Savannah McCloskey","58","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Candace Cabanas","57","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Sean Radomski","57","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Nick Bordner","56","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Michelle Benitez","52","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Richard Arnott","39","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Liz Diehl","36","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Kevin Lee","34","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Mary E. Vigna","31","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Mike Domanico","29","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Keith Hoffman","29","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Renee Fagan","22","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Lisa von Deylen","15","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Sharon Clancy","14","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Andy Meehan","13","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Barbara Garwood","10","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Frank Barnhardt","10","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Caribe CC Giscombe","9","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Fran Grous","7","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Ron Arooj","7","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Write-in","1","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Write-in","1","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Write-in","1","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Write-in","0","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Write-in","0","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Write-in","0","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Write-in","0","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Write-in","0","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Write-in","0","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Write-in","0","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Write-in","0","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Write-in","0","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Write-in","0","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Write-in","0","12.70%"
"Bedminster Twp East","REPUBLICAN STATE COMMITTEE (Rep)","Write-in","0","12.70%"
